id,year,statistic,Team,value
1,1901,Base on Balls,Chicago,475
2,1901,Batting Average,Baltimore,.294
3,1901,Doubles,Philadelphia,239
4,1901,Hits,Philadelphia,"1,409"
5,1901,Home Runs,Boston,37
6,1901,On Base Percentage,Baltimore,.353
7,1901,Runs,Chicago,819
8,1901,Slugging Average,Baltimore,.397
9,1901,Stolen Bases,Chicago,280
10,1902,Base on Balls,Baltimore,417
11,1902,Batting Average,Cleveland,.289
12,1902,Doubles,Washington,261
13,1902,Hits,Cleveland,"1,401"
14,1902,Home Runs,Washington,47
15,1902,On Base Percentage,Baltimore,.342
16,1902,Runs,Philadelphia,775
17,1902,Slugging Average,Washington,.395
18,1902,Stolen Bases,Chicago,265
19,1903,Base on Balls,New York,332
20,1903,Batting Average,Boston,.272
21,1903,Doubles,Cleveland,231
22,1903,Hits,Boston,"1,336"
23,1903,Home Runs,Boston,48
24,1903,On Base Percentage,Detroit,.318
25,1903,Runs,Boston,708
26,1903,Slugging Average,Boston,.392
27,1903,Stolen Bases,Chicago,180
28,1904,Base on Balls,Chicago,373
29,1904,Batting Average,Cleveland,.260
30,1904,Doubles,Cleveland,225
31,1904,Hits,New York,"1,354"
32,1904,Home Runs,Philadelphia,31
33,1904,On Base Percentage,Cleveland,.308
34,1904,Runs,Cleveland,647
35,1904,Slugging Average,Cleveland,.354
36,1904,Stolen Bases,Chicago,216
37,1905,Base on Balls,Boston,486
38,1905,Batting Average,Philadelphia,.255
39,1905,Doubles,Philadelphia,256
40,1905,Hits,Cleveland,"1,318"
41,1905,Home Runs,Boston,29
42,1905,On Base Percentage,Philadelphia,.310
43,1905,Runs,Philadelphia,623
44,1905,Slugging Average,Philadelphia,.338
45,1906,Base on Balls,Chicago,453
46,1906,Batting Average,Cleveland,.279
47,1906,Doubles,Cleveland,240
48,1906,Hits,Cleveland,"1,514"
49,1906,Home Runs,Philadelphia,32
50,1906,On Base Percentage,Cleveland,.325
51,1906,Runs,Cleveland,663
52,1906,Slugging Average,Cleveland,.357
53,1906,Stolen Bases,Washington,233
54,1907,Base on Balls,Chicago,421
55,1907,Batting Average,Detroit,.266
56,1907,Doubles,Philadelphia,220
57,1907,Hits,Detroit,"1,383"
58,1907,Home Runs,Philadelphia,22
59,1907,On Base Percentage,Detroit,.313
60,1907,Runs,Detroit,694
61,1907,Slugging Average,Detroit,.335
62,1907,Stolen Bases,Washington,223
63,1908,Base on Balls,Chicago,463
64,1908,Batting Average,Detroit,.263
65,1908,Doubles,Detroit,199
66,1908,Hits,Detroit,"1,347"
67,1908,Home Runs,Philadelphia,21
68,1908,On Base Percentage,Detroit,.312
69,1908,Runs,Detroit,647
70,1908,Slugging Average,Detroit,.347
71,1908,Stolen Bases,New York,231
72,1909,Base on Balls,Chicago,441
73,1909,Batting Average,Detroit,.267
74,1909,Doubles,Detroit,209
75,1909,Hits,Detroit,"1,360"
76,1909,Home Runs,Philadelphia,21
77,1909,On Base Percentage,Detroit,.325
78,1909,Runs,Detroit,666
79,1909,Slugging Average,Philadelphia,.343
80,1909,Stolen Bases,Detroit,280
81,1910,Base on Balls,New York,464
82,1910,Batting Average,Philadelphia,.266
83,1910,Doubles,Philadelphia,191
84,1910,Hits,Philadelphia,"1,373"
85,1910,Home Runs,Boston,43
86,1910,On Base Percentage,Detroit,.329
87,1910,Runs,Detroit,679
88,1910,Slugging Average,Philadelphia,.355
89,1910,Stolen Bases,New York,288
90,1911,Base on Balls,Boston,506
91,1911,Batting Average,Philadelphia,.296
92,1911,Doubles,Cleveland,238
93,1911,Hits,Detroit,"1,544"
94,1911,Home Runs,Boston,35
95,1911,Home Runs,Philadelphia,35
96,1911,On Base Percentage,Philadelphia,.357
97,1911,Runs,Philadelphia,861
98,1911,Slugging Average,Philadelphia,.398
99,1911,Stolen Bases,Detroit,276
100,1911,Triples,Detroit,96
101,1912,Base on Balls,Boston,565
102,1912,Batting Average,Philadelphia,.282
103,1912,Doubles,Boston,269
104,1912,Hits,Philadelphia,"1,442"
105,1912,Home Runs,Boston,29
106,1912,On Base Percentage,Boston,.355
107,1912,Runs,Boston,799
108,1912,Slugging Average,Boston,.380
109,1912,Stolen Bases,Washington,274
110,1913,Base on Balls,New York,534
111,1913,Base on Balls,Philadelphia,534
112,1913,Batting Average,Philadelphia,.280
113,1913,Doubles,Philadelphia,223
114,1913,Hits,Philadelphia,"1,412"
115,1913,Home Runs,Philadelphia,33
116,1913,On Base Percentage,Philadelphia,.356
117,1913,Runs,Philadelphia,794
118,1913,Slugging Average,Philadelphia,.375
119,1913,Stolen Bases,Washington,287
120,1913,Triples,Boston,101
121,1914,Base on Balls,New York,577
122,1914,Batting Average,Philadelphia,.272
123,1914,Doubles,Boston,226
124,1914,Hits,Philadelphia,"1,392"
125,1914,Home Runs,Philadelphia,29
126,1914,On Base Percentage,Philadelphia,.348
127,1914,Runs,Philadelphia,749
128,1914,Slugging Average,Philadelphia,.352
129,1914,Stolen Bases,New York,251
130,1915,Base on Balls,Detroit,681
131,1915,Batting Average,Detroit,.268
132,1915,Doubles,Detroit,207
133,1915,Hits,Detroit,"1,372"
