id,year,statistic,team,value
id,year,statistic,Team,
1,1901,Base on Balls,Chicago,475.0
2,1901,Batting Average,Baltimore,0.294
3,1901,Doubles,Philadelphia,239.0
4,1901,Hits,Philadelphia,1.0
5,1901,Home Runs,Boston,37.0
6,1901,On Base Percentage,Baltimore,0.353
7,1901,Runs,Chicago,819.0
8,1901,Slugging Average,Baltimore,0.397
9,1901,Stolen Bases,Chicago,280.0
10,1902,Base on Balls,Baltimore,417.0
11,1902,Batting Average,Cleveland,0.289
12,1902,Doubles,Washington,261.0
13,1902,Hits,Cleveland,1.0
14,1902,Home Runs,Washington,47.0
15,1902,On Base Percentage,Baltimore,0.342
16,1902,Runs,Philadelphia,775.0
17,1902,Slugging Average,Washington,0.395
18,1902,Stolen Bases,Chicago,265.0
19,1903,Base on Balls,New York,332.0
20,1903,Batting Average,Boston,0.272
21,1903,Doubles,Cleveland,231.0
22,1903,Hits,Boston,1.0
23,1903,Home Runs,Boston,48.0
24,1903,On Base Percentage,Detroit,0.318
25,1903,Runs,Boston,708.0
26,1903,Slugging Average,Boston,0.392
27,1903,Stolen Bases,Chicago,180.0
28,1904,Base on Balls,Chicago,373.0
29,1904,Batting Average,Cleveland,0.26
30,1904,Doubles,Cleveland,225.0
31,1904,Hits,New York,1.0
32,1904,Home Runs,Philadelphia,31.0
33,1904,On Base Percentage,Cleveland,0.308
34,1904,Runs,Cleveland,647.0
35,1904,Slugging Average,Cleveland,0.354
36,1904,Stolen Bases,Chicago,216.0
37,1905,Base on Balls,Boston,486.0
38,1905,Batting Average,Philadelphia,0.255
39,1905,Doubles,Philadelphia,256.0
40,1905,Hits,Cleveland,1.0
41,1905,Home Runs,Boston,29.0
42,1905,On Base Percentage,Philadelphia,0.31
43,1905,Runs,Philadelphia,623.0
44,1905,Slugging Average,Philadelphia,0.338
45,1906,Base on Balls,Chicago,453.0
46,1906,Batting Average,Cleveland,0.279
47,1906,Doubles,Cleveland,240.0
48,1906,Hits,Cleveland,1.0
49,1906,Home Runs,Philadelphia,32.0
50,1906,On Base Percentage,Cleveland,0.325
51,1906,Runs,Cleveland,663.0
52,1906,Slugging Average,Cleveland,0.357
53,1906,Stolen Bases,Washington,233.0
54,1907,Base on Balls,Chicago,421.0
55,1907,Batting Average,Detroit,0.266
56,1907,Doubles,Philadelphia,220.0
57,1907,Hits,Detroit,1.0
58,1907,Home Runs,Philadelphia,22.0
59,1907,On Base Percentage,Detroit,0.313
60,1907,Runs,Detroit,694.0
61,1907,Slugging Average,Detroit,0.335
62,1907,Stolen Bases,Washington,223.0
63,1908,Base on Balls,Chicago,463.0
64,1908,Batting Average,Detroit,0.263
65,1908,Doubles,Detroit,199.0
66,1908,Hits,Detroit,1.0
67,1908,Home Runs,Philadelphia,21.0
68,1908,On Base Percentage,Detroit,0.312
69,1908,Runs,Detroit,647.0
70,1908,Slugging Average,Detroit,0.347
71,1908,Stolen Bases,New York,231.0
72,1909,Base on Balls,Chicago,441.0
73,1909,Batting Average,Detroit,0.267
74,1909,Doubles,Detroit,209.0
75,1909,Hits,Detroit,1.0
76,1909,Home Runs,Philadelphia,21.0
77,1909,On Base Percentage,Detroit,0.325
78,1909,Runs,Detroit,666.0
79,1909,Slugging Average,Philadelphia,0.343
80,1909,Stolen Bases,Detroit,280.0
81,1910,Base on Balls,New York,464.0
82,1910,Batting Average,Philadelphia,0.266
83,1910,Doubles,Philadelphia,191.0
84,1910,Hits,Philadelphia,1.0
85,1910,Home Runs,Boston,43.0
86,1910,On Base Percentage,Detroit,0.329
87,1910,Runs,Detroit,679.0
88,1910,Slugging Average,Philadelphia,0.355
89,1910,Stolen Bases,New York,288.0
90,1911,Base on Balls,Boston,506.0
91,1911,Batting Average,Philadelphia,0.296
92,1911,Doubles,Cleveland,238.0
93,1911,Hits,Detroit,1.0
94,1911,Home Runs,Boston,35.0
95,1911,Home Runs,Philadelphia,35.0
96,1911,On Base Percentage,Philadelphia,0.357
97,1911,Runs,Philadelphia,861.0
98,1911,Slugging Average,Philadelphia,0.398
99,1911,Stolen Bases,Detroit,276.0
100,1911,Triples,Detroit,96.0
101,1912,Base on Balls,Boston,565.0
102,1912,Batting Average,Philadelphia,0.282
103,1912,Doubles,Boston,269.0
104,1912,Hits,Philadelphia,1.0
105,1912,Home Runs,Boston,29.0
106,1912,On Base Percentage,Boston,0.355
107,1912,Runs,Boston,799.0
108,1912,Slugging Average,Boston,0.38
109,1912,Stolen Bases,Washington,274.0
110,1913,Base on Balls,New York,534.0
111,1913,Base on Balls,Philadelphia,534.0
112,1913,Batting Average,Philadelphia,0.28
113,1913,Doubles,Philadelphia,223.0
114,1913,Hits,Philadelphia,1.0
115,1913,Home Runs,Philadelphia,33.0
116,1913,On Base Percentage,Philadelphia,0.356
117,1913,Runs,Philadelphia,794.0
118,1913,Slugging Average,Philadelphia,0.375
119,1913,Stolen Bases,Washington,287.0
120,1913,Triples,Boston,101.0
121,1914,Base on Balls,New York,577.0
122,1914,Batting Average,Philadelphia,0.272
123,1914,Doubles,Boston,226.0
124,1914,Hits,Philadelphia,1.0
125,1914,Home Runs,Philadelphia,29.0
126,1914,On Base Percentage,Philadelphia,0.348
127,1914,Runs,Philadelphia,749.0
128,1914,Slugging Average,Philadelphia,0.352
129,1914,Stolen Bases,New York,251.0
130,1915,Base on Balls,Detroit,681.0
131,1915,Batting Average,Detroit,0.268
132,1915,Doubles,Detroit,207.0
133,1915,Hits,Detroit,1.0
134,1915,Home Runs,New York,31.0
135,1915,On Base Percentage,Detroit,0.357
136,1915,Runs,Detroit,778.0
137,1915,Slugging Average,Detroit,0.358
138,1915,Stolen Bases,Detroit,241.0
139,1916,Base on Balls,St. Louis,626.0
140,1916,Batting Average,Detroit,0.264
141,1916,Doubles,Cleveland,233.0
142,1916,Hits,Detroit,1.0
143,1916,Home Runs,New York,35.0
144,1916,On Base Percentage,Detroit,0.337
145,1916,Runs,Detroit,673.0
146,1916,Slugging Average,Detroit,0.35
147,1916,Stolen Bases,St. Louis,234.0
148,1917,Base on Balls,Cleveland,549.0
149,1917,Batting Average,Detroit,0.259
150,1917,Doubles,Cleveland,218.0
151,1917,Hits,Detroit,1.0
152,1917,Home Runs,New York,27.0
153,1917,On Base Percentage,Chicago,0.329
154,1917,Runs,Chicago,656.0
155,1917,Slugging Average,Detroit,0.344
156,1917,Stolen Bases,Chicago,219.0
157,1918,Base on Balls,Cleveland,491.0
158,1918,Batting Average,Cleveland,0.26
159,1918,Doubles,Cleveland,176.0
160,1918,Hits,Washington,1.0
161,1918,Home Runs,Philadelphia,22.0
162,1918,On Base Percentage,Cleveland,0.344
163,1918,Runs,Cleveland,504.0
164,1918,Slugging Average,Cleveland,0.341
165,1918,Stolen Bases,Cleveland,165.0
166,1919,Base on Balls,Cleveland,498.0
167,1919,Batting Average,Chicago,0.287
168,1919,Doubles,Cleveland,254.0
169,1919,Hits,Chicago,1.0
170,1919,Home Runs,New York,45.0
171,1919,On Base Percentage,Cleveland,0.354
172,1919,Runs,Chicago,667.0
173,1919,Slugging Average,Cleveland,0.381
174,1919,Stolen Bases,Chicago,150.0
175,1920,Base on Balls,Cleveland,574.0
176,1920,Batting Average,St. Louis,0.308
177,1920,Doubles,Cleveland,301.0
178,1920,Hits,St. Louis,1.0
179,1920,Home Runs,New York,115.0
180,1920,On Base Percentage,Cleveland,0.376
181,1920,Runs,Cleveland,856.0
182,1920,Slugging Average,New York,0.426
183,1920,Stolen Bases,Washington,160.0
184,1921,Base on Balls,Cleveland,619.0
185,1921,Batting Average,Detroit,0.316
186,1921,Doubles,Cleveland,355.0
187,1921,Hits,Detroit,1.0
188,1921,Home Runs,New York,134.0
189,1921,On Base Percentage,Detroit,0.385
190,1921,Runs,New York,948.0
191,1921,Slugging Average,New York,0.464
192,1921,Stolen Bases,Washington,112.0
193,1922,Base on Balls,Cleveland,550.0
194,1922,Batting Average,St. Louis,0.31
195,1922,Doubles,Cleveland,320.0
196,1922,Hits,St. Louis,1.0
197,1922,Home Runs,Philadelphia,111.0
198,1922,On Base Percentage,Detroit,0.373
199,1922,Runs,St. Louis,867.0
200,1922,Slugging Average,St. Louis,0.453
201,1922,Stolen Bases,St. Louis,136.0
202,1923,Base on Balls,Cleveland,633.0
203,1923,Batting Average,Cleveland,0.301
204,1923,Doubles,Cleveland,301.0
205,1923,Hits,Cleveland,1.0
206,1923,Home Runs,New York,105.0
207,1923,On Base Percentage,Cleveland,0.381
208,1923,Runs,Cleveland,888.0
209,1923,Slugging Average,New York,0.422
210,1924,Base on Balls,Detroit,607.0
211,1924,Batting Average,Detroit,0.298
212,1924,Doubles,Detroit,315.0
213,1924,Hits,Detroit,1.0
214,1924,Home Runs,New York,98.0
215,1924,On Base Percentage,Detroit,0.373
216,1924,Runs,Detroit,849.0
217,1924,Slugging Average,New York,0.426
218,1925,Base on Balls,Chicago,662.0
219,1925,Batting Average,Philadelphia,0.307
220,1925,Doubles,St. Louis,304.0
221,1925,Hits,Philadelphia,1.0
222,1925,Home Runs,New York,110.0
223,1925,Home Runs,St. Louis,110.0
224,1925,On Base Percentage,Detroit,0.379
225,1925,Runs,Detroit,903.0
226,1925,Slugging Average,St. Louis,0.439
227,1926,Base on Balls,New York,642.0
228,1926,Batting Average,Washington,0.292
229,1926,Doubles,Cleveland,333.0
230,1926,Hits,Detroit,1.0
231,1926,Home Runs,New York,121.0
232,1926,On Base Percentage,New York,0.369
233,1926,Runs,New York,847.0
234,1926,Slugging Average,New York,0.437
235,1927,Base on Balls,New York,635.0
236,1927,Batting Average,New York,0.307
237,1927,Doubles,Cleveland,321.0
238,1927,Hits,New York,1.0
239,1927,Home Runs,New York,158.0
240,1927,On Base Percentage,New York,0.383
241,1927,Runs,New York,975.0
242,1927,Slugging Average,New York,0.489
243,1927,Stolen Bases,Detroit,139.0
244,1927,Triples,New York,103.0
245,1928,Base on Balls,New York,562.0
246,1928,Batting Average,New York,0.296
247,1928,Doubles,Philadelphia,323.0
248,1928,Hits,New York,1.0
249,1928,Home Runs,New York,133.0
250,1928,On Base Percentage,New York,0.365
251,1928,Runs,New York,894.0
252,1928,Slugging Average,New York,0.45
253,1929,Base on Balls,St. Louis,589.0
254,1929,Batting Average,Detroit,0.299
255,1929,Doubles,Detroit,339.0
256,1929,Hits,Detroit,1.0
257,1929,Home Runs,New York,142.0
258,1929,On Base Percentage,Philadelphia,0.365
259,1929,Runs,Detroit,926.0
260,1929,Slugging Average,Detroit,0.453
261,1930,Base on Balls,New York,644.0
262,1930,Batting Average,New York,0.309
263,1930,Doubles,Cleveland,358.0
264,1930,Hits,New York,1.0
265,1930,Home Runs,New York,152.0
266,1930,On Base Percentage,New York,0.384
267,1930,Runs,New York,1.0
268,1930,Slugging Average,New York,0.488
269,1931,Base on Balls,New York,748.0
270,1931,Batting Average,New York,0.297
271,1931,Doubles,Cleveland,321.0
272,1931,Hits,New York,1.0
273,1931,Home Runs,New York,155.0
274,1931,On Base Percentage,New York,0.383
275,1931,Runs,New York,1.0
276,1931,Slugging Average,New York,0.457
277,1932,Base on Balls,New York,766.0
278,1932,Batting Average,Philadelphia,0.29
279,1932,Doubles,Cleveland,310.0
280,1932,Hits,Philadelphia,1.0
281,1932,Home Runs,Philadelphia,172.0
282,1932,On Base Percentage,New York,0.376
283,1932,Runs,New York,1.0
284,1932,Slugging Average,Philadelphia,0.457
285,1932,Stolen Bases,Detroit,103.0
286,1932,Triples,Washington,100.0
287,1933,Base on Balls,New York,700.0
288,1933,Batting Average,Washington,0.287
289,1933,Doubles,Philadelphia,297.0
290,1933,Hits,Washington,1.0
291,1933,Home Runs,New York,144.0
292,1933,On Base Percentage,New York,0.369
293,1933,Runs,New York,927.0
294,1933,Slugging Average,New York,0.44
295,1933,Slugging Average,Philadelphia,0.44
296,1934,Base on Balls,New York,700.0
297,1934,Batting Average,Detroit,0.3
298,1934,Doubles,Detroit,349.0
299,1934,Hits,Detroit,1.0
300,1934,Home Runs,Philadelphia,144.0
301,1934,On Base Percentage,Detroit,0.376
302,1934,Runs,Detroit,958.0
303,1934,Slugging Average,Philadelphia,0.425
304,1935,Base on Balls,Detroit,627.0
305,1935,Batting Average,Detroit,0.29
306,1935,Doubles,Cleveland,324.0
307,1935,Hits,Washington,1.0
308,1935,Home Runs,Philadelphia,112.0
309,1935,On Base Percentage,Detroit,0.366
310,1935,Runs,Detroit,919.0
311,1935,Slugging Average,Detroit,0.435
312,1936,Base on Balls,New York,700.0
313,1936,Batting Average,Cleveland,0.304
314,1936,Doubles,Cleveland,357.0
315,1936,Hits,Cleveland,1.0
316,1936,Home Runs,New York,182.0
317,1936,On Base Percentage,New York,0.381
318,1936,Runs,New York,1.0
319,1936,Slugging Average,New York,0.483
320,1936,Stolen Bases,Washington,104.0
321,1936,Triples,Washington,84.0
322,1937,Base on Balls,New York,709.0
323,1937,Batting Average,Detroit,0.292
324,1937,Doubles,St. Louis,327.0
325,1937,Hits,Detroit,1.0
326,1937,Home Runs,New York,174.0
327,1937,On Base Percentage,Detroit,0.37
328,1937,Runs,New York,979.0
329,1937,Slugging Average,New York,0.456
330,1938,Base on Balls,New York,749.0
331,1938,Batting Average,Boston,0.299
332,1938,Doubles,Cleveland,300.0
333,1938,Hits,Washington,1.0
334,1938,Home Runs,New York,174.0
335,1938,On Base Percentage,Boston,0.378
336,1938,Runs,New York,966.0
337,1938,Slugging Average,New York,0.446
338,1938,Stolen Bases,New York,91.0
339,1939,Base on Balls,New York,701.0
340,1939,Batting Average,Boston,0.291
341,1939,Doubles,Cleveland,291.0
342,1939,Hits,Boston,1.0
343,1939,Home Runs,New York,166.0
344,1939,On Base Percentage,New York,0.374
345,1939,Runs,New York,967.0
346,1939,Slugging Average,New York,0.451
347,1939,Stolen Bases,Chicago,113.0
348,1940,Base on Balls,Detroit,664.0
349,1940,Batting Average,Detroit,0.286
350,1940,Doubles,Detroit,312.0
351,1940,Hits,Boston,1.0
352,1940,Home Runs,New York,155.0
353,1940,On Base Percentage,Detroit,0.366
354,1940,Runs,Detroit,888.0
355,1940,Slugging Average,Boston,0.449
356,1941,Base on Balls,St. Louis,775.0
357,1941,Batting Average,Boston,0.283
358,1941,Doubles,Boston,304.0
359,1941,Hits,Boston,1.0
360,1941,Home Runs,New York,151.0
361,1941,On Base Percentage,Boston,0.366
362,1941,Runs,Boston,865.0
363,1941,Slugging Average,Boston,0.43
364,1941,Stolen Bases,Chicago,91.0
365,1942,Base on Balls,St. Louis,609.0
366,1942,Batting Average,Boston,0.276
367,1942,Doubles,Boston,244.0
368,1942,Hits,Boston,1.0
369,1942,Home Runs,New York,108.0
370,1942,On Base Percentage,Boston,0.352
371,1942,Runs,New York,801.0
372,1942,Slugging Average,Boston,0.403
373,1942,Stolen Bases,Chicago,114.0
374,1943,Base on Balls,New York,624.0
375,1943,Batting Average,Detroit,0.261
376,1943,Doubles,Cleveland,246.0
377,1943,Hits,Detroit,1.0
378,1943,Home Runs,New York,100.0
379,1943,On Base Percentage,New York,0.337
380,1943,Runs,New York,669.0
381,1943,Slugging Average,New York,0.376
382,1944,Base on Balls,Detroit,532.0
383,1944,Batting Average,Boston,0.27
384,1944,Doubles,Boston,277.0
385,1944,Hits,Cleveland,1.0
386,1944,Home Runs,New York,96.0
387,1944,On Base Percentage,Boston,0.336
388,1944,Runs,Boston,739.0
389,1944,Slugging Average,New York,0.387
390,1944,Stolen Bases,Washington,127.0
391,1944,Triples,New York,74.0
392,1945,Base on Balls,New York,618.0
393,1945,Batting Average,Chicago,0.262
394,1945,Doubles,Detroit,227.0
395,1945,Hits,Boston,1.0
396,1945,Home Runs,New York,93.0
397,1945,On Base Percentage,New York,0.343
398,1945,Runs,New York,676.0
399,1945,Slugging Average,New York,0.373
400,1945,Stolen Bases,Washington,110.0
401,1946,Base on Balls,Boston,687.0
402,1946,Batting Average,Boston,0.271
403,1946,Doubles,Boston,268.0
404,1946,Hits,Boston,1.0
405,1946,Home Runs,New York,136.0
406,1946,On Base Percentage,Boston,0.356
407,1946,Runs,Boston,792.0
408,1946,Slugging Average,Boston,0.402
409,1947,Base on Balls,Detroit,762.0
410,1947,Batting Average,New York,0.271
411,1947,Doubles,Cleveland,234.0
412,1947,Doubles,Detroit,234.0
413,1947,Hits,New York,1.0
414,1947,Home Runs,New York,115.0
415,1947,On Base Percentage,Detroit,0.353
416,1947,Runs,New York,794.0
417,1947,Slugging Average,New York,0.407
418,1948,Base on Balls,Boston,823.0
419,1948,Batting Average,Cleveland,0.282
420,1948,Doubles,Boston,277.0
421,1948,Hits,Cleveland,1.0
422,1948,Home Runs,Cleveland,155.0
423,1948,On Base Percentage,Boston,0.374
424,1948,Runs,Boston,907.0
425,1948,Slugging Average,New York,0.432
426,1948,Stolen Bases,Washington,76.0
427,1949,Base on Balls,Boston,835.0
428,1949,Batting Average,Boston,0.282
429,1949,Doubles,Boston,272.0
430,1949,Hits,Boston,1.0
431,1949,Home Runs,Boston,131.0
432,1949,On Base Percentage,Boston,0.381
433,1949,Runs,Boston,896.0
434,1949,Slugging Average,Boston,0.42
435,1950,Base on Balls,Detroit,722.0
436,1950,Batting Average,Boston,0.302
437,1950,Doubles,Boston,287.0
438,1950,Hits,Boston,1.0
439,1950,Home Runs,Cleveland,164.0
440,1950,On Base Percentage,Boston,0.385
441,1950,Runs,Boston,1.0
442,1950,Slugging Average,Boston,0.464
443,1950,Stolen Bases,Philadelphia,42.0
444,1951,Base on Balls,Boston,756.0
445,1951,Batting Average,Chicago,0.27
446,1951,Doubles,Philadelphia,262.0
447,1951,Hits,Chicago,1.0
