id,year,statistic,name,team,value,top_25
1,1901,Base on Balls,Dummy Hoy,Chicago,86,Top 25
2,1901,Batting Average,Nap Lajoie,Philadelphia,.426,Top 25
3,1901,Doubles,Nap Lajoie,Philadelphia,48,Top 25
4,1901,Hits,Nap Lajoie,Philadelphia,232,Top 25
5,1901,Home Runs,Nap Lajoie,Philadelphia,14,Top 25
6,1901,On Base Percentage,Nap Lajoie,Philadelphia,.463,Top 25
7,1901,RBI,Nap Lajoie,Philadelphia,125,Top 25
8,1901,Runs,Nap Lajoie,Philadelphia,145,Top 25
9,1901,Slugging Average,Nap Lajoie,Philadelphia,.643,Top 25
10,1901,Stolen Bases,Frank Isbell,Chicago,52,Top 25
11,1901,Total Bases,Nap Lajoie,Philadelphia,350,Top 25
12,1901,Triples,Bill Keister,Baltimore,21,Top 25
13,1901,Triples,Jimmy Williams,Baltimore,21,Top 25
14,1902,Base on Balls,Topsy Hartsel,Philadelphia,87,Top 25
15,1902,Batting Average,Ed Delahanty,Washington,.376,Top 25
16,1902,Doubles,Harry Davis,Philadelphia,43,Top 25
17,1902,Doubles,Ed Delahanty,Washington,43,Top 25
18,1902,Hits,Charlie Hickman,Boston,193,Top 25
19,1902,Hits,Charlie Hickman,Cleveland,193,Top 25
20,1902,Home Runs,Socks Seybold,Philadelphia,16,Top 25
21,1902,On Base Percentage,Ed Delahanty,Washington,.453,Top 25
22,1902,RBI,Buck Freeman,Boston,121,Top 25
23,1902,Runs,Dave Fultz,Philadelphia,109,Top 25
24,1902,Runs,Topsy Hartsel,Philadelphia,109,Top 25
25,1902,Slugging Average,Ed Delahanty,Washington,.590,Top 25
26,1902,Stolen Bases,Topsy Hartsel,Philadelphia,47,Top 25
27,1902,Total Bases,Charlie Hickman,Boston,288,Top 25
28,1902,Total Bases,Charlie Hickman,Cleveland,288,Top 25
29,1902,Triples,Jimmy Williams,Baltimore,21,Top 25
30,1903,Base on Balls,Jimmy Barrett,Detroit,74,Top 25
31,1903,Batting Average,Nap Lajoie,Cleveland,.344,Top 25
32,1903,Doubles,Socks Seybold,Philadelphia,45,Top 25
33,1903,Hits,Patsy Dougherty,Boston,195,Top 25
34,1903,Home Runs,Buck Freeman,Boston,13,Top 25
35,1903,On Base Percentage,Jimmy Barrett,Detroit,.407,Top 25
36,1903,RBI,Buck Freeman,Boston,104,Top 25
37,1903,Runs,Patsy Dougherty,Boston,107,Top 25
38,1903,Slugging Average,Nap Lajoie,Cleveland,.518,Top 25
39,1903,Stolen Bases,Harry Bay,Cleveland,45,Top 25
40,1903,Total Bases,Buck Freeman,Boston,281,Top 25
41,1903,Triples,Sam Crawford,Detroit,25,Top 25
42,1904,Base on Balls,Jimmy Barrett,Detroit,79,Top 25
43,1904,Batting Average,Nap Lajoie,Cleveland,.376,Top 25
44,1904,Doubles,Nap Lajoie,Cleveland,49,Top 25
45,1904,Hits,Nap Lajoie,Cleveland,211,Top 25
46,1904,Home Runs,Harry Davis,Philadelphia,10,Top 25
47,1904,On Base Percentage,Nap Lajoie,Cleveland,.413,Top 25
48,1904,RBI,Nap Lajoie,Cleveland,102,Top 25
49,1904,Runs,Patsy Dougherty,Boston,113,Top 25
50,1904,Runs,Patsy Dougherty,New York,113,Top 25
51,1904,Slugging Average,Nap Lajoie,Cleveland,.552,Top 25
52,1904,Stolen Bases,Harry Bay,Cleveland,38,Top 25
53,1904,Stolen Bases,Elmer Flick,Cleveland,38,Top 25
54,1904,Total Bases,Nap Lajoie,Cleveland,305,Top 25
55,1904,Triples,Joe Cassidy,Washington,19,Top 25
56,1904,Triples,Buck Freeman,Boston,19,Top 25
57,1904,Triples,Chick Stahl,Boston,19,Top 25
58,1905,Base on Balls,Topsy Hartsel,Philadelphia,121,Top 25
59,1905,Batting Average,Elmer Flick,Cleveland,.308,Top 25
60,1905,Doubles,Harry Davis,Philadelphia,47,Top 25
61,1905,Hits,George Stone,St. Louis,187,Top 25
62,1905,Home Runs,Harry Davis,Philadelphia,8,Top 25
63,1905,On Base Percentage,Topsy Hartsel,Philadelphia,.409,Top 25
64,1905,RBI,Harry Davis,Philadelphia,83,Top 25
65,1905,Runs,Harry Davis,Philadelphia,93,Top 25
66,1905,Slugging Average,Elmer Flick,Cleveland,.462,Top 25
67,1905,Stolen Bases,Danny Hoffman,Philadelphia,46,Top 25
68,1905,Total Bases,George Stone,St. Louis,259,Top 25
69,1906,Base on Balls,Topsy Hartsel,Philadelphia,88,Top 25
70,1906,Batting Average,George Stone,St. Louis,.358,Top 25
71,1906,Doubles,Nap Lajoie,Cleveland,48,Top 25
72,1906,Hits,Nap Lajoie,Cleveland,214,Top 25
73,1906,Home Runs,Harry Davis,Philadelphia,12,Top 25
74,1906,On Base Percentage,George Stone,St. Louis,.417,Top 25
75,1906,RBI,Harry Davis,Philadelphia,96,Top 25
76,1906,Runs,Elmer Flick,Cleveland,98,Top 25
77,1906,Slugging Average,George Stone,St. Louis,.501,Top 25
78,1906,Stolen Bases,John Anderson,Washington,39,Top 25
79,1906,Stolen Bases,Elmer Flick,Cleveland,39,Top 25
80,1906,Total Bases,George Stone,St. Louis,291,Top 25
81,1906,Triples,Elmer Flick,Cleveland,22,Top 25
82,1907,Base on Balls,Topsy Hartsel,Philadelphia,106,Top 25
83,1907,Batting Average,Ty Cobb,Detroit,.350,Top 25
84,1907,Doubles,Harry Davis,Philadelphia,35,Top 25
85,1907,Hits,Ty Cobb,Detroit,212,Top 25
86,1907,Home Runs,Harry Davis,Philadelphia,8,Top 25
87,1907,On Base Percentage,Topsy Hartsel,Philadelphia,.405,Top 25
88,1907,RBI,Ty Cobb,Detroit,119,Top 25
89,1907,Runs,Sam Crawford,Detroit,102,Top 25
90,1907,Slugging Average,Ty Cobb,Detroit,.468,Top 25
91,1907,Stolen Bases,Ty Cobb,Detroit,49,Top 25
92,1907,Total Bases,Ty Cobb,Detroit,283,Top 25
93,1907,Triples,Elmer Flick,Cleveland,18,Top 25
94,1908,Base on Balls,Topsy Hartsel,Philadelphia,93,Top 25
95,1908,Batting Average,Ty Cobb,Detroit,.324,Top 25
96,1908,Doubles,Ty Cobb,Detroit,36,Top 25
97,1908,Hits,Ty Cobb,Detroit,188,Top 25
98,1908,Home Runs,Sam Crawford,Detroit,7,Top 25
99,1908,On Base Percentage,Doc Gessler,Boston,.394,Top 25
100,1908,RBI,Ty Cobb,Detroit,108,Top 25
101,1908,Runs,Matty McIntyre,Detroit,105,Top 25
102,1908,Slugging Average,Ty Cobb,Detroit,.476,Top 25
103,1908,Stolen Bases,Patsy Dougherty,Chicago,47,Top 25
104,1908,Total Bases,Ty Cobb,Detroit,276,Top 25
105,1908,Triples,Ty Cobb,Detroit,20,Top 25
106,1909,Base on Balls,Donie Bush,Detroit,88,Top 25
107,1909,Batting Average,Ty Cobb,Detroit,.377,Top 25
108,1909,Doubles,Sam Crawford,Detroit,35,Top 25
109,1909,Hits,Ty Cobb,Detroit,216,Top 25
110,1909,Home Runs,Ty Cobb,Detroit,9,Top 25
111,1909,On Base Percentage,Ty Cobb,Detroit,.431,Top 25
