id,year,statistic,name,team,value,top_25
1,1901,,Dummy Hoy,Chicago,86.0,Top 25
2,1901,,Nap Lajoie,Philadelphia,0.426,Top 25
3,1901,,Nap Lajoie,Philadelphia,48.0,Top 25
4,1901,,Nap Lajoie,Philadelphia,232.0,Top 25
5,1901,,Nap Lajoie,Philadelphia,14.0,Top 25
6,1901,,Nap Lajoie,Philadelphia,0.463,Top 25
7,1901,,Nap Lajoie,Philadelphia,125.0,Top 25
8,1901,,Nap Lajoie,Philadelphia,145.0,Top 25
9,1901,,Nap Lajoie,Philadelphia,0.643,Top 25
10,1901,,Frank Isbell,Chicago,52.0,Top 25
11,1901,,Nap Lajoie,Philadelphia,350.0,Top 25
12,1901,,Bill Keister,Baltimore,21.0,Top 25
13,1901,,Jimmy Williams,Baltimore,21.0,Top 25
14,1902,,Topsy Hartsel,Philadelphia,87.0,Top 25
15,1902,,Ed Delahanty,Washington,0.376,Top 25
16,1902,,Harry Davis,Philadelphia,43.0,Top 25
17,1902,,Ed Delahanty,Washington,43.0,Top 25
18,1902,,Charlie Hickman,Boston,193.0,Top 25
19,1902,,Charlie Hickman,Cleveland,193.0,Top 25
20,1902,,Socks Seybold,Philadelphia,16.0,Top 25
21,1902,,Ed Delahanty,Washington,0.453,Top 25
22,1902,,Buck Freeman,Boston,121.0,Top 25
23,1902,,Dave Fultz,Philadelphia,109.0,Top 25
24,1902,,Topsy Hartsel,Philadelphia,109.0,Top 25
25,1902,,Ed Delahanty,Washington,0.59,Top 25
26,1902,,Topsy Hartsel,Philadelphia,47.0,Top 25
27,1902,,Charlie Hickman,Boston,288.0,Top 25
28,1902,,Charlie Hickman,Cleveland,288.0,Top 25
29,1902,,Jimmy Williams,Baltimore,21.0,Top 25
30,1903,,Jimmy Barrett,Detroit,74.0,Top 25
31,1903,,Nap Lajoie,Cleveland,0.344,Top 25
32,1903,,Socks Seybold,Philadelphia,45.0,Top 25
33,1903,,Patsy Dougherty,Boston,195.0,Top 25
34,1903,,Buck Freeman,Boston,13.0,Top 25
35,1903,,Jimmy Barrett,Detroit,0.407,Top 25
36,1903,,Buck Freeman,Boston,104.0,Top 25
37,1903,,Patsy Dougherty,Boston,107.0,Top 25
38,1903,,Nap Lajoie,Cleveland,0.518,Top 25
39,1903,,Harry Bay,Cleveland,45.0,Top 25
40,1903,,Buck Freeman,Boston,281.0,Top 25
41,1903,,Sam Crawford,Detroit,25.0,Top 25
42,1904,,Jimmy Barrett,Detroit,79.0,Top 25
43,1904,,Nap Lajoie,Cleveland,0.376,Top 25
44,1904,,Nap Lajoie,Cleveland,49.0,Top 25
45,1904,,Nap Lajoie,Cleveland,211.0,Top 25
46,1904,,Harry Davis,Philadelphia,10.0,Top 25
47,1904,,Nap Lajoie,Cleveland,0.413,Top 25
48,1904,,Nap Lajoie,Cleveland,102.0,Top 25
49,1904,,Patsy Dougherty,Boston,113.0,Top 25
50,1904,,Patsy Dougherty,New York,113.0,Top 25
51,1904,,Nap Lajoie,Cleveland,0.552,Top 25
52,1904,,Harry Bay,Cleveland,38.0,Top 25
53,1904,,Elmer Flick,Cleveland,38.0,Top 25
