id,year,statistic,team,value
id,year,statistic,Team,
1,1901,Complete Games,Philadelphia,124.0
2,1901,ERA,Chicago,2.98
3,1901,Fewest Hits Allowed,Boston,1.0
4,1901,Fewest Home Runs Allowed,Philadelphia,20.0
5,1901,Fewest Walks Allowed,Washington,284.0
6,1901,Saves,Cleveland,4.0
7,1901,Saves,Milwaukee,4.0
8,1901,Shutouts,Chicago,11.0
9,1902,Complete Games,Washington,130.0
10,1902,ERA,Boston,3.02
11,1902,Fewest Hits Allowed,Cleveland,1.0
12,1902,Fewest Home Runs Allowed,Detroit,20.0
13,1902,Fewest Walks Allowed,Washington,312.0
14,1902,Saves,Cleveland,3.0
15,1902,Saves,Detroit,3.0
16,1902,Shutouts,Cleveland,16.0
17,1903,Complete Games,Cleveland,125.0
18,1903,ERA,Boston,2.57
19,1903,Fewest Hits Allowed,Philadelphia,1.0
20,1903,Fewest Home Runs Allowed,Cleveland,16.0
21,1903,Fewest Walks Allowed,St. Louis,237.0
22,1903,Saves,Boston,4.0
23,1903,Saves,Chicago,4.0
24,1903,Shutouts,Boston,20.0
25,1903,Shutouts,Cleveland,20.0
26,1904,Complete Games,Boston,148.0
27,1904,ERA,Boston,2.12
28,1904,Fewest Hits Allowed,Philadelphia,1.0
29,1904,Fewest Home Runs Allowed,Cleveland,10.0
30,1904,Fewest Walks Allowed,Boston,233.0
31,1904,Saves,Washington,4.0
32,1904,Shutouts,Chicago,26.0
33,1904,Shutouts,Philadelphia,26.0
34,1905,Complete Games,Cleveland,140.0
35,1905,ERA,Chicago,1.99
36,1905,Fewest Hits Allowed,Philadelphia,1.0
37,1905,Fewest Home Runs Allowed,Chicago,11.0
38,1905,Fewest Home Runs Allowed,Detroit,11.0
39,1905,Fewest Walks Allowed,Boston,292.0
40,1905,Saves,New York,4.0
41,1905,Shutouts,Philadelphia,19.0
42,1906,Complete Games,Cleveland,133.0
43,1906,Complete Games,St. Louis,133.0
44,1906,ERA,Cleveland,2.09
45,1906,Fewest Hits Allowed,St. Louis,1.0
46,1906,Fewest Home Runs Allowed,Philadelphia,9.0
47,1906,Fewest Walks Allowed,Chicago,255.0
48,1906,Saves,Boston,6.0
49,1906,Shutouts,Chicago,32.0
50,1907,Complete Games,St. Louis,129.0
51,1907,ERA,Chicago,2.22
52,1907,Fewest Hits Allowed,Philadelphia,1.0
53,1907,Fewest Home Runs Allowed,Cleveland,8.0
54,1907,Fewest Home Runs Allowed,Detroit,8.0
55,1907,Fewest Walks Allowed,Chicago,305.0
56,1907,Saves,Chicago,9.0
57,1907,Saves,St. Louis,9.0
58,1907,Shutouts,Philadelphia,27.0
59,1908,Complete Games,Detroit,119.0
60,1908,ERA,Cleveland,2.02
61,1908,Fewest Hits Allowed,St. Louis,1.0
62,1908,Fewest Home Runs Allowed,St. Louis,7.0
63,1908,Fewest Walks Allowed,Chicago,284.0
64,1908,Saves,Chicago,10.0
65,1908,Shutouts,Chicago,23.0
66,1908,Shutouts,Philadelphia,23.0
67,1909,Complete Games,Detroit,117.0
68,1909,ERA,Philadelphia,1.93
69,1909,Fewest Hits Allowed,Philadelphia,1.0
70,1909,Fewest Home Runs Allowed,Chicago,8.0
71,1909,Fewest Walks Allowed,Chicago,340.0
72,1909,Saves,Boston,15.0
73,1909,Shutouts,Philadelphia,27.0
74,1910,Complete Games,Philadelphia,123.0
75,1910,ERA,Philadelphia,1.79
76,1910,Fewest Hits Allowed,Philadelphia,1.0
77,1910,Fewest Home Runs Allowed,Philadelphia,8.0
78,1910,Fewest Walks Allowed,New York,364.0
79,1910,Saves,New York,8.0
80,1910,Shutouts,Philadelphia,24.0
81,1911,Complete Games,Detroit,108.0
82,1911,ERA,Boston,2.74
83,1911,Fewest Hits Allowed,Boston,1.0
84,1911,Fewest Home Runs Allowed,Cleveland,17.0
85,1911,Fewest Home Runs Allowed,Philadelphia,17.0
86,1911,Fewest Walks Allowed,Chicago,384.0
87,1911,Saves,Philadelphia,13.0
88,1911,Shutouts,Chicago,17.0
89,1912,Complete Games,Boston,108.0
90,1912,ERA,Washington,2.69
91,1912,Fewest Hits Allowed,Washington,1.0
92,1912,Fewest Home Runs Allowed,Philadelphia,12.0
93,1912,Fewest Walks Allowed,Boston,385.0
94,1912,Saves,Chicago,16.0
95,1912,Shutouts,Boston,18.0
96,1913,Complete Games,St. Louis,104.0
97,1913,ERA,Chicago,2.33
98,1913,Fewest Hits Allowed,Washington,1.0
99,1913,Fewest Home Runs Allowed,Boston,6.0
100,1913,Fewest Walks Allowed,Chicago,438.0
101,1913,Saves,Philadelphia,22.0
102,1913,Shutouts,Washington,23.0
103,1914,Complete Games,New York,98.0
104,1914,ERA,Boston,2.36
105,1914,Fewest Hits Allowed,Washington,1.0
106,1914,Fewest Home Runs Allowed,Cleveland,10.0
107,1914,Fewest Walks Allowed,New York,390.0
108,1914,Saves,Washington,20.0
109,1914,Shutouts,Washington,25.0
110,1915,Complete Games,New York,101.0
111,1915,ERA,Washington,2.31
112,1915,Fewest Hits Allowed,Washington,1.0
113,1915,Fewest Home Runs Allowed,Washington,12.0
114,1915,Fewest Walks Allowed,Chicago,350.0
115,1915,Saves,Detroit,20.0
116,1915,Shutouts,Washington,21.0
117,1916,Complete Games,Philadelphia,94.0
118,1916,ERA,Chicago,2.36
