id,year,statistic,name,team,value,top_25
1,1901,Complete Games,Joe McGinnity,Baltimore,39,Top 25
2,1901,ERA,Cy Young,Boston,1.62,Top 25
3,1901,Games,Joe McGinnity,Baltimore,48,Top 25
4,1901,Saves,Bill Hoffer,Cleveland,3,Top 25
5,1901,Shutouts,Clark Griffith,Chicago,5,Top 25
6,1901,Shutouts,Cy Young,Boston,5,Top 25
7,1901,Strikeouts,Cy Young,Boston,158,Top 25
8,1901,Winning Percentage,Clark Griffith,Chicago,.774,Top 25
9,1901,Wins,Cy Young,Boston,33,Top 25
10,1902,Complete Games,Cy Young,Boston,41,Top 25
11,1902,ERA,Ed Siever,Detroit,1.91,Top 25
12,1902,Games,Cy Young,Boston,45,Top 25
13,1902,Saves,Jack Powell,St. Louis,2,Top 25
14,1902,Shutouts,Addie Joss,Cleveland,5,Top 25
15,1902,Strikeouts,Rube Waddell,Philadelphia,210,Top 25
16,1902,Winning Percentage,Bill Bernhard,Philadelphia,.783,Top 25
17,1902,Winning Percentage,Bill Bernhard,Cleveland,.783,Top 25
18,1902,Wins,Cy Young,Boston,32,Top 25
19,1903,Complete Games,Bill Donovan,Detroit,34,Top 25
20,1903,Complete Games,Rube Waddell,Philadelphia,34,Top 25
21,1903,Complete Games,Cy Young,Boston,34,Top 25
22,1903,ERA,Earl Moore,Cleveland,1.74,Top 25
23,1903,Games,Eddie Plank,Philadelphia,43,Top 25
24,1903,Saves,Bill Dinneen,Boston,2,Top 25
25,1903,Saves,George Mullin,Detroit,2,Top 25
26,1903,Saves,Al Orth,Washington,2,Top 25
27,1903,Saves,Jack Powell,St. Louis,2,Top 25
28,1903,Saves,Cy Young,Boston,2,Top 25
29,1903,Shutouts,Cy Young,Boston,7,Top 25
30,1903,Strikeouts,Rube Waddell,Philadelphia,302,Top 25
31,1903,Winning Percentage,Cy Young,Boston,.757,Top 25
32,1903,Wins,Cy Young,Boston,28,Top 25
33,1904,Complete Games,Jack Chesbro,New York,48,Top 25
34,1904,ERA,Addie Joss,Cleveland,1.59,Top 25
35,1904,Games,Jack Chesbro,New York,55,Top 25
36,1904,Saves,Case Patten,Washington,3,Top 25
37,1904,Shutouts,Cy Young,Boston,10,Top 25
38,1904,Strikeouts,Rube Waddell,Philadelphia,349,Top 25
39,1904,Winning Percentage,Jack Chesbro,New York,.774,Top 25
40,1904,Wins,Jack Chesbro,New York,41,Top 25
41,1905,Complete Games,Harry Howell,St. Louis,35,Top 25
42,1905,Complete Games,George Mullin,Detroit,35,Top 25
43,1905,Complete Games,Eddie Plank,Philadelphia,35,Top 25
44,1905,ERA,Rube Waddell,Philadelphia,1.48,Top 25
45,1905,Games,Rube Waddell,Philadelphia,46,Top 25
46,1905,Saves,Jim Buchanan,St. Louis,2,Top 25
47,1905,Shutouts,Ed Killian,Detroit,8,Top 25
48,1905,Strikeouts,Rube Waddell,Philadelphia,287,Top 25
49,1905,Winning Percentage,Rube Waddell,Philadelphia,.730,Top 25
50,1906,Complete Games,Al Orth,New York,36,Top 25
51,1906,ERA,Doc White,Chicago,1.52,Top 25
52,1906,Games,Jack Chesbro,New York,49,Top 25
53,1906,Saves,Chief Bender,Philadelphia,3,Top 25
54,1906,Saves,Otto Hess,Cleveland,3,Top 25
55,1906,Shutouts,Ed Walsh,Chicago,10,Top 25
56,1906,Strikeouts,Rube Waddell,Philadelphia,196,Top 25
57,1906,Winning Percentage,Eddie Plank,Philadelphia,.760,Top 25
58,1906,Wins,Al Orth,New York,27,Top 25
59,1907,Complete Games,Ed Walsh,Chicago,37,Top 25
60,1907,ERA,Ed Walsh,Chicago,1.60,Top 25
61,1907,Games,Ed Walsh,Chicago,56,Top 25
62,1907,Saves,Bill Dinneen,Philadelphia,4,Top 25
63,1907,Saves,Bill Dinneen,St. Louis,4,Top 25
64,1907,Saves,Tom Hughes,Washington,4,Top 25
65,1907,Saves,Ed Walsh,Chicago,4,Top 25
66,1907,Shutouts,Eddie Plank,Philadelphia,8,Top 25
67,1907,Strikeouts,Rube Waddell,Philadelphia,232,Top 25
68,1907,Winning Percentage,Bill Donovan,Detroit,.862,Top 25
69,1907,Wins,Addie Joss,Cleveland,27,Top 25
70,1907,Wins,Doc White,Chicago,27,Top 25
71,1908,Complete Games,Ed Walsh,Chicago,42,Top 25
72,1908,ERA,Addie Joss,Cleveland,1.16,Top 25
73,1908,Games,Ed Walsh,Chicago,66,Top 25
74,1908,Saves,Ed Walsh,Chicago,6,Top 25
75,1908,Shutouts,Ed Walsh,Chicago,11,Top 25
76,1908,Strikeouts,Ed Walsh,Chicago,269,Top 25
77,1908,Winning Percentage,Ed Walsh,Chicago,.727,Top 25
78,1908,Wins,Ed Walsh,Chicago,40,Top 25
79,1909,Complete Games,Frank Smith,Chicago,37,Top 25
80,1909,ERA,Harry Krause,Philadelphia,1.39,Top 25
81,1909,Games,Frank Smith,Chicago,51,Top 25
82,1909,Saves,Frank Arellanes,Boston,8,Top 25
83,1909,Shutouts,Ed Walsh,Chicago,8,Top 25
84,1909,Strikeouts,Frank Smith,Chicago,177,Top 25
85,1909,Winning Percentage,George Mullin,Detroit,.784,Top 25
86,1909,Wins,George Mullin,Detroit,29,Top 25
87,1910,Complete Games,Walter Johnson,Washington,38,Top 25
88,1910,ERA,Ed Walsh,Chicago,1.27,Top 25
89,1910,Games,Ed Walsh,Chicago,45,Top 25
90,1910,Games,Jack Coombs,Philadelphia,45,Top 25
91,1910,Games,Walter Johnson,Washington,45,Top 25
92,1910,Saves,Ed Walsh,Chicago,5,Top 25
93,1910,Shutouts,Jack Coombs,Philadelphia,13,Top 25
94,1910,Strikeouts,Walter Johnson,Washington,313,Top 25
95,1910,Winning Percentage,Chief Bender,Philadelphia,.821,Top 25
96,1910,Wins,Jack Coombs,Philadelphia,31,Top 25
97,1911,Complete Games,Walter Johnson,Washington,36,Top 25
98,1911,ERA,Vean Gregg,Cleveland,1.80,Top 25
99,1911,Games,Ed Walsh,Chicago,56,Top 25
100,1911,Saves,Charley Hall,Boston,4,Top 25
101,1911,Saves,Eddie Plank,Philadelphia,4,Top 25
102,1911,Saves,Ed Walsh,Chicago,4,Top 25
103,1911,Shutouts,Eddie Plank,Philadelphia,6,Top 25
104,1911,Shutouts,Walter Johnson,Washington,6,Top 25
105,1911,Strikeouts,Ed Walsh,Chicago,255,Top 25
106,1911,Winning Percentage,Chief Bender,Philadelphia,.773,Top 25
107,1911,Wins,Jack Coombs,Philadelphia,28,Top 25
108,1912,Complete Games,Smoky Joe Wood,Boston,35,Top 25
109,1912,ERA,Walter Johnson,Washington,1.39,Top 25
110,1912,Games,Ed Walsh,Chicago,62,Top 25
111,1912,Saves,Ed Walsh,Chicago,10,Top 25
112,1912,Shutouts,Smoky Joe Wood,Boston,10,Top 25
113,1912,Strikeouts,Walter Johnson,Washington,303,Top 25
114,1912,Winning Percentage,Smoky Joe Wood,Boston,.872,Top 25
115,1912,Wins,Smoky Joe Wood,Boston,34,Top 25
116,1913,Complete Games,Walter Johnson,Washington,29,Top 25
117,1913,ERA,Walter Johnson,Washington,1.14,Top 25
118,1913,Games,Reb Russell,Chicago,52,Top 25
119,1913,Saves,Chief Bender,Philadelphia,13,Top 25
120,1913,Shutouts,Walter Johnson,Washington,11,Top 25
121,1913,Strikeouts,Walter Johnson,Washington,243,Top 25
122,1913,Winning Percentage,Walter Johnson,Washington,.837,Top 25
123,1913,Wins,Walter Johnson,Washington,36,Top 25
124,1914,Complete Games,Walter Johnson,Washington,33,Top 25
125,1914,ERA,Dutch Leonard,Boston,0.96,Top 25
126,1914,Games,Walter Johnson,Washington,51,Top 25
127,1914,Saves,Jack Bentley,Washington,4,Top 25
128,1914,Saves,Hooks Dauss,Detroit,4,Top 25
129,1914,Saves,Red Faber,Chicago,4,Top 25
130,1914,Saves,Roy Mitchell,St. Louis,4,Top 25
131,1914,Saves,Jim Shaw,Washington,4,Top 25
132,1914,Shutouts,Walter Johnson,Washington,9,Top 25
133,1914,Strikeouts,Walter Johnson,Washington,225,Top 25
134,1914,Winning Percentage,Chief Bender,Philadelphia,.850,Top 25
135,1914,Wins,Walter Johnson,Washington,28,Top 25
136,1915,Complete Games,Walter Johnson,Washington,35,Top 25
137,1915,ERA,Smoky Joe Wood,Boston,1.49,Top 25
138,1915,Games,Harry Coveleski,Detroit,50,Top 25
139,1915,Games,Red Faber,Chicago,50,Top 25
140,1915,Saves,Carl Mays,Boston,7,Top 25
