id,year,statistic,name,team,value,top_25
1,1901,,Joe McGinnity,Baltimore,39.0,Top 25
2,1901,,Cy Young,Boston,1.62,Top 25
3,1901,,Joe McGinnity,Baltimore,48.0,Top 25
4,1901,,Bill Hoffer,Cleveland,3.0,Top 25
5,1901,,Clark Griffith,Chicago,5.0,Top 25
6,1901,,Cy Young,Boston,5.0,Top 25
7,1901,,Cy Young,Boston,158.0,Top 25
8,1901,,Clark Griffith,Chicago,0.774,Top 25
9,1901,,Cy Young,Boston,33.0,Top 25
10,1902,,Cy Young,Boston,41.0,Top 25
11,1902,,Ed Siever,Detroit,1.91,Top 25
12,1902,,Cy Young,Boston,45.0,Top 25
13,1902,,Jack Powell,St. Louis,2.0,Top 25
14,1902,,Addie Joss,Cleveland,5.0,Top 25
15,1902,,Rube Waddell,Philadelphia,210.0,Top 25
16,1902,,Bill Bernhard,Philadelphia,0.783,Top 25
17,1902,,Bill Bernhard,Cleveland,0.783,Top 25
18,1902,,Cy Young,Boston,32.0,Top 25
19,1903,,Bill Donovan,Detroit,34.0,Top 25
20,1903,,Rube Waddell,Philadelphia,34.0,Top 25
21,1903,,Cy Young,Boston,34.0,Top 25
22,1903,,Earl Moore,Cleveland,1.74,Top 25
23,1903,,Eddie Plank,Philadelphia,43.0,Top 25
24,1903,,Bill Dinneen,Boston,2.0,Top 25
25,1903,,George Mullin,Detroit,2.0,Top 25
26,1903,,Al Orth,Washington,2.0,Top 25
27,1903,,Jack Powell,St. Louis,2.0,Top 25
28,1903,,Cy Young,Boston,2.0,Top 25
29,1903,,Cy Young,Boston,7.0,Top 25
30,1903,,Rube Waddell,Philadelphia,302.0,Top 25
31,1903,,Cy Young,Boston,0.757,Top 25
32,1903,,Cy Young,Boston,28.0,Top 25
33,1904,,Jack Chesbro,New York,48.0,Top 25
34,1904,,Addie Joss,Cleveland,1.59,Top 25
35,1904,,Jack Chesbro,New York,55.0,Top 25
36,1904,,Case Patten,Washington,3.0,Top 25
37,1904,,Cy Young,Boston,10.0,Top 25
38,1904,,Rube Waddell,Philadelphia,349.0,Top 25
39,1904,,Jack Chesbro,New York,0.774,Top 25
40,1904,,Jack Chesbro,New York,41.0,Top 25
41,1905,,Harry Howell,St. Louis,35.0,Top 25
42,1905,,George Mullin,Detroit,35.0,Top 25
43,1905,,Eddie Plank,Philadelphia,35.0,Top 25
44,1905,,Rube Waddell,Philadelphia,1.48,Top 25
45,1905,,Rube Waddell,Philadelphia,46.0,Top 25
46,1905,,Jim Buchanan,St. Louis,2.0,Top 25
47,1905,,Ed Killian,Detroit,8.0,Top 25
48,1905,,Rube Waddell,Philadelphia,287.0,Top 25
49,1905,,Rube Waddell,Philadelphia,0.73,Top 25
50,1906,,Al Orth,New York,36.0,Top 25
51,1906,,Doc White,Chicago,1.52,Top 25
